join,codice,st,t_ele,f_elet,dt_ele,l_terr,area,cod_com,desc_com,cod_prov,desc_prov,ele_m,ele_f,ele_t,vot_m,vot_f,vot_t,perc_vot,sz_perv,sz_tot,fine_rip,sk_bianche,sk_nulle,sk_contestate,tot_vot_lis,non_valid,dt_agg,data_prec_elez,circ_sto,reg_sto,prov_sto,comu_sto,tipo_tras,NR.,DESCRIZIONE COMUNE,SIGLA,CODICE ELETTORALE,CODICE ISTAT,CODICE BELFIORE,pref_silvia,pref_marcello,dati_presenti
350090,2060350090,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,90,GRADO,35,GORIZIA,3215,3426,6641,2169,2309,4478,"67,43",6,6,N,130,156,0,4192,,20240610045705.0,20190526000000.0,2.0,6.0,35.0,90.0,SZ,3148,GRADO,GO,1060350090,31009,E125,1,0,1
610240,2080610240,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,240,GRAGNANO TREBBIENSE,61,PIACENZA,1693,1737,3430,1033,1097,2130,"62,10",4,4,N,63,68,0,1999,,20240610015157.0,20190526000000.0,2.0,8.0,61.0,240.0,SZ,3154,GRAGNANO TREBBIENSE,PC,1080610240,33024,E132,2,1,1
130300,2080130300,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,300,GRANAROLO DELL'EMILIA,13,BOLOGNA,4955,5202,10157,3283,3516,6799,"66,94",11,11,N,103,149,0,6547,,20240610045114.0,20190526000000.0,2.0,8.0,13.0,300.0,CO,3157,GRANAROLO DELL'EMILIA,BO,1080130300,37030,E136,21,18,1
540420,2050540420,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,420,GRANTORTO,54,PADOVA,1844,1824,3668,872,862,1734,"47,27",4,4,N,14,57,0,1663,,20240610023437.0,20190526000000.0,2.0,5.0,54.0,420.0,SZ,3163,GRANTORTO,PD,1050540420,28042,E145,6,3,1
540430,2050540430,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,430,GRANZE,54,PADOVA,800,830,1630,345,343,688,"42,21",2,2,N,11,40,0,637,,20240610010037.0,20190526000000.0,2.0,5.0,54.0,430.0,SZ,3164,GRANZE,PD,1050540430,28043,E146,0,0,1
890380,2050890380,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,380,GREZZANA,89,VERONA,4376,4304,8680,2310,2307,4617,"53,19",10,10,N,30,99,0,4488,,20240610044922.0,20190526000000.0,2.0,5.0,89.0,380.0,CO,3185,GREZZANA,VR,1050890380,23038,E171,12,9,1
830900,2040830900,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,900,GRIGNO,83,TRENTO,1070,1115,2185,406,363,769,"35,19",2,2,N,12,26,0,731,,20240610011525.0,20190526000000.0,2.0,4.0,83.0,900.0,SZ,3189,GRIGNO,TN,1040830900,22095,E178,1,1,1
850450,2060850450,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,450,GRIMACCO,85,UDINE,172,203,375,102,105,207,"55,20",1,1,N,9,12,0,186,,20240610023720.0,20190526000000.0,2.0,6.0,85.0,450.0,SZ,3190,GRIMACCO,UD,1060850450,30045,E179,0,0,1
900460,2050900460,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,460,GRISIGNANO DI ZOCCO,90,VICENZA,1737,1829,3566,1068,1124,2192,"61,47",4,4,N,42,74,0,2076,,20240610045316.0,20190526000000.0,2.0,5.0,90.0,460.0,CO,3193,GRISIGNANO DI ZOCCO,VI,1050900460,24046,E184,0,0,1
130310,2080130310,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,310,GRIZZANA MORANDI,13,BOLOGNA,1634,1563,3197,963,889,1852,"57,93",5,5,N,29,64,0,1759,,20240610014556.0,20190526000000.0,2.0,8.0,13.0,310.0,CO,3195,GRIZZANA MORANDI,BO,1080130310,37031,E187,6,4,1
610250,2080610250,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,250,GROPPARELLO,61,PIACENZA,1074,1024,2098,524,440,964,"45,95",4,4,N,3,34,0,927,,20240610020432.0,20190526000000.0,2.0,8.0,61.0,250.0,SZ,3202,GROPPARELLO,PC,1080610250,33025,E196,1,0,1
870180,2050870180,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,180,GRUARO,87,VENEZIA,1226,1347,2573,765,786,1551,"60,28",3,3,N,50,49,0,1452,,20240610023958.0,20190526000000.0,2.0,5.0,87.0,180.0,SZ,3218,GRUARO,VE,1050870180,27018,E215,3,1,1
900470,2050900470,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,470,GRUMOLO DELLE ABBADESSE,90,VICENZA,1675,1567,3242,970,963,1933,"59,62",3,3,N,48,72,0,1813,,20240610044911.0,20190526000000.0,2.0,5.0,90.0,470.0,CO,3225,GRUMOLO DELLE ABBADESSE,VI,1050900470,24047,E226,0,0,1
680230,2080680230,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,230,GUALTIERI,68,REGGIO NELL' EMILIA,2737,2730,5467,1574,1558,3132,"57,29",6,6,N,61,110,0,2961,,20240610051026.0,20190526000000.0,2.0,8.0,68.0,230.0,SZ,3230,GUALTIERI,RE,1080680230,35023,E232,3,1,1
710280,2050710280,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,280,GUARDA VENETA,71,ROVIGO,474,500,974,302,298,600,"61,60",1,1,N,29,24,0,547,,20240610045302.0,20190526000000.0,2.0,5.0,71.0,280.0,CO,3235,GUARDA VENETA,RO,1050710280,29028,E240,2,0,1
680240,2080680240,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,240,GUASTALLA,68,REGGIO NELL' EMILIA,5661,5895,11556,3591,3691,7282,"63,01",14,14,N,163,242,0,6877,,20240610025115.0,20190526000000.0,2.0,8.0,68.0,240.0,SZ,3250,GUASTALLA,RE,1080680240,35024,E253,16,2,1
500170,2080500170,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,170,GUIGLIA,50,MODENA,1925,1920,3845,854,815,1669,"43,41",4,4,N,20,37,0,1612,,20240610012308.0,20190526000000.0,2.0,8.0,50.0,170.0,SZ,3257,GUIGLIA,MO,1080500170,36017,E264,7,3,1
890390,2050890390,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,390,ILLASI,89,VERONA,2253,2267,4520,1156,1131,2287,"50,60",4,4,N,18,44,0,2225,,20240610024646.0,20190526000000.0,2.0,5.0,89.0,390.0,CO,3268,ILLASI,VR,1050890390,23039,E284,5,5,1
830920,2040830920,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,920,IMER,83,TRENTO,677,637,1314,231,189,420,"31,96",1,1,N,1,10,0,409,,20240610015350.0,20190526000000.0,2.0,4.0,83.0,920.0,SZ,3271,IMER,TN,1040830920,22097,E288,0,0,1
130320,2080130320,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,320,IMOLA,13,BOLOGNA,26469,28262,54731,14979,15781,30760,"56,20",62,62,N,212,600,1,29947,,20240610045143.0,20190526000000.0,2.0,8.0,13.0,320.0,CO,3272,IMOLA,BO,1080130320,37032,E289,154,93,1
830930,2040830930,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,930,ISERA,83,TRENTO,1239,1265,2504,601,610,1211,"48,36",2,2,N,8,26,0,1177,,20240610045031.0,20190526000000.0,2.0,4.0,83.0,930.0,SZ,3299,ISERA,TN,1040830930,22098,E334,1,0,1
890400,2050890400,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,400,ISOLA DELLA SCALA,89,VERONA,4628,4717,9345,2164,2158,4322,"46,25",9,9,N,25,119,0,4178,,20240610023303.0,20190526000000.0,2.0,5.0,89.0,400.0,CO,3309,ISOLA DELLA SCALA,VR,1050890400,23040,E349,6,2,1
890410,2050890410,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,410,ISOLA RIZZA,89,VERONA,1372,1397,2769,640,589,1229,"44,38",3,3,N,9,42,0,1178,,20240610051914.0,20190526000000.0,2.0,5.0,89.0,410.0,CO,3314,ISOLA RIZZA,VR,1050890410,23041,E358,3,2,1
